trade_name,concentration,company,pharmaceutical_form,display_name
HALOPERIDOL-EIPICO 5 MG,5mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Tablets,HALOPERIDOL-EIPICO 5 MG 5mg
EPICOPENTIN 800 MG,800mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Film Coated Tablets,EPICOPENTIN 800 MG 800mg
EPICOPENTIN 600 MG,600mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Film Coated Tablets,EPICOPENTIN 600 MG 600mg
DOXIRAZOL 30 mg,30mg,Hikma pharma,delayed release hard gelatin capsule,DOXIRAZOL 30 mg 30mg
DOXIRAZOL 60 mg,60mg,Hikma pharma,delayed release hard gelatin capsule,DOXIRAZOL 60 mg 60mg
RILUTAN 50 MG,50mg,SAJA Pharmaceuticals Egypt - SAJA,Film Coated Tablets,RILUTAN 50 MG 50mg
VANIHAIR,115mg/gm,Amriya for Pharmaceutical Industries,Topical Cream,VANIHAIR 115mg/gm
Glucoryl Plus 2/500,0comb,Growth pharma,Tablets,Glucoryl Plus 2/500 0comb
Glucoryl Plus 1/500 mg,0comb,Growth pharma,Film Coated Tablets,Glucoryl Plus 1/500 mg 0comb
DEBESKON,0comb,D.B.K FOR PHARMACEUTICAL INDUSTRIES,Oral Suspension,DEBESKON 0comb
DEBACOLEV  750 mg,750mg,D.B.K FOR PHARMACEUTICAL INDUSTRIES,Film Coated Tablets,DEBACOLEV  750 mg 750mg
Tenotens Plus 12.5/50,0comb,kahira pharmaceuticals and chemical industries,Film Coated Tablets,Tenotens Plus 12.5/50 0comb
Tenotens Plus 25/100,0comb,kahira pharmaceuticals and chemical industries,Film Coated Tablets,Tenotens Plus 25/100 0comb
LANTOPEP 30 mg,30mg,Mash for pharmaceutical Industries and cosmetic - mash premiere,Hard Gelatin Capsules Containing Delayed Release Pellets,LANTOPEP 30 mg 30mg
Lantopep 60 mg,60mg,Mash for pharmaceutical Industries and cosmetic - mash premiere,Hard Gelatin Capsules Containing Delayed Release Pellets,Lantopep 60 mg 60mg
GLIPTUS PLUS 50/850,0comb,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Film Coated Tablets,GLIPTUS PLUS 50/850 0comb
