trade_name,concentration,company,pharmaceutical_form,display_name
Immulant,175mg,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Hard Gelatin Capsules,Immulant 175mg
Aqua gripe N,0comb,pharaonia pharmaceuticals (pharo pharma),Oral Syrup,Aqua gripe N 0comb
Fast syrup,0comb,pharaonia pharmaceuticals (pharo pharma),Oral Syrup,Fast syrup 0comb
Caldin C,0comb,AL ESRAA PHARMACEUTICAL OPTIMA-EGYPT,Film Coated Tablets,Caldin C 0comb
Calio plus,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Film Coated Tablets,Calio plus 0comb
Pro-S,50mg,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Film Coated Tablets,Pro-S 50mg
Gestin,0comb,Amoun Pharmaceutical Company,Soft Gelatin Capsule,Gestin 0comb
Immulant,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Oral Syrup,Immulant 0comb
Trib Gold,250mg,Nerhadou International for Pharmaceuticals and Neutraceuticals,Hard vegetable Capsules,Trib Gold 250mg
Calcid B12,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Oral Syrup,Calcid B12 0comb
Osteocare,0comb,vitabiotics egypt for pharmaceutical industries,Tablets,Osteocare 0comb
Pharocal plus,0comb,pharaonia pharmaceuticals (pharo pharma),Tablets,Pharocal plus 0comb
Calcid,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Soft Gelatin Capsule,Calcid 0comb
Menorief,40mg,EMA Pharm Pharmaceuticals,Hard Gelatin Capsules,Menorief 40mg
Meparose,1000mg,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Soft Gelatin Capsule,Meparose 1000mg
Isoflavone,40mg,El OBOUR MODERN PHARMACEUTICAL INDUSTRIES-EGYPT,Film Coated Tablets,Isoflavone 40mg
Wheat Germ Oil - Mepaco-Medi Food,300mg,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Soft Gelatin Capsule,Wheat Germ Oil - Mepaco-Medi Food 300mg
Ginsaco,0comb,Arab Company for Medical Products (Arabcomed),Oral Syrup,Ginsaco 0comb
Honimag,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Film Coated Tablets,Honimag 0comb
Mulone,37.5mg,Atos for production of medicinal herbs(Atos pharma),Oral Drops,Mulone 37.5mg
Alvital,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Oral Syrup,Alvital 0comb
Gesto,0comb,The National Company NAPCO PHARMA  For Pharmaceuticals  Industries,Soft Gelatin Capsule,Gesto 0comb
Baraka,450mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Soft Gelatin Capsule,Baraka 450mg
Sina Wet,0comb,SINA PHARM,Oral Syrup,Sina Wet 0comb
Baraka 100mg,100mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Soft Gelatin Capsule,Baraka 100mg 100mg
Iron Complex,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Hard Gelatin Capsules,Iron Complex 0comb
Alvital  iron,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Oral Syrup,Alvital  iron 0comb
Mega-prof,175mg,ABNY PHARM - EGYPT,Hard Gelatin Capsules,Mega-prof 175mg
Rosinol,100mg,Atos for production of medicinal herbs(Atos pharma),Soft Gelatin Capsule,Rosinol 100mg
Zinc A.C.E.,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Enteric Coated Tablet,Zinc A.C.E. 0comb
Vitagreen E,0comb,Atos for production of medicinal herbs(Atos pharma),Soft Gelatin Capsule,Vitagreen E 0comb
Sina dry,0comb,SINA PHARM,Oral Syrup,Sina dry 0comb
Fewmig,80mg,EMA Pharm Pharmaceuticals,Soft Gelatin Capsule,Fewmig 80mg
Tomex gold,0comb,Atos for production of medicinal herbs(Atos pharma),Soft Gelatin Capsule,Tomex gold 0comb
Octatron,0comb,Nerhadou International for Pharmaceuticals and Neutraceuticals,Hard Gelatin Capsules,Octatron 0comb
Royal Jelly,1000mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Soft Gelatin Capsule,Royal Jelly 1000mg
Iprivone,300mg,EMA Pharm Pharmaceuticals,Tablets,Iprivone 300mg
Erbitux 5mg / ml solution,5mg/ml,Merck Limited - Egypt,Solution for Infusion,Erbitux 5mg / ml solution 5mg/ml
Actemra 80mg/4 ml,80mg/4ml,Hoffman La Roch,Concentrate For Solution For I.V Infusion,Actemra 80mg/4 ml 80mg/4ml
Actemra 200mg/10ml,200mg/10ml,Hoffman La Roch,Concentrate For Solution For I.V Infusion,Actemra 200mg/10ml 200mg/10ml
PLASBUMIN 20,20%,Grifols Middle East and Africa,Infusion,PLASBUMIN 20 20%
Rabies vaccine for Human use (Verocell) Freeze dried,2.5I.U/0.5ml,"The holding company for  biological products and vaccines - Egyptian Company for Production of Vaccines , Sera and Drugs( EGYVAC )",Lyophilized Powder for Injection,Rabies vaccine for Human use (Verocell) Freeze dried 2.5I.U/0.5ml
Hervive 440 mg,440mg,MEMPHIS for pharmaceuticals and chemical industries,Lyophilized Powder for  I.V Infusion/ Injection,Hervive 440 mg 440mg
Mircera 100mcg /0.3ml,100mcg/0.3ml,Hoffman La Roch,solution for S.C Injection and I.V Infusion,Mircera 100mcg /0.3ml 100mcg/0.3ml
Mircera 75mcg /0.3ml,75mcg/0.3ml,Hoffman La Roch,Solution for injection in Pre-filled Syringe,Mircera 75mcg /0.3ml 75mcg/0.3ml
Ovitrelle 250 mg/0.5ml solution for injection in a prefilled syringe,250mcg/0.5ml,Merck Limited - Egypt,Solution for injection,Ovitrelle 250 mg/0.5ml solution for injection in a prefilled syringe 250mcg/0.5ml
"Fraxiparine 5700 IU Axa/0,6ml,  solution for injection (S.C.) in pre-filled syringe",5700I.U./0.6ml,phoenix Marketing Group.,Solution for S.C injection,"Fraxiparine 5700 IU Axa/0,6ml,  solution for injection (S.C.) in pre-filled syringe 5700I.U./0.6ml"
"Fraxiparine 5700 IU Axa/0,6ml,  solution for injection (S.C.) in pre-filled syringe",5700I.U./0.6ml,phoenix Marketing Group.,Solution for S.C injection,"Fraxiparine 5700 IU Axa/0,6ml,  solution for injection (S.C.) in pre-filled syringe 5700I.U./0.6ml"
Aranesp 50 micrograms  solution for injection,50mcg/0.5ml,Multipharma for Pharmaceuticals and Chemicals Company,Solution for injection in Pre-filled Syringe,Aranesp 50 micrograms  solution for injection 50mcg/0.5ml
Aranesp 60 micrograms  solution for injection,60mcg/0.3ml,Amgen Scientific Office,Solution for injection,Aranesp 60 micrograms  solution for injection 60mcg/0.3ml
Aranesp 10 micrograms  solution for injection prefilled syringe,10mcg/0.4ml,Amgen Scientific Office,Solution for injection,Aranesp 10 micrograms  solution for injection prefilled syringe 10mcg/0.4ml
Aranesp 150 micrograms  solution for injection prefilled syringe,150mcg/0.3ml,Amgen Scientific Office,Solution for injection in Pre-filled Syringe,Aranesp 150 micrograms  solution for injection prefilled syringe 150mcg/0.3ml
Aranesp 300 micrograms  solution for injection prefilled syringe,300mcg/0.6ml,Amgen Scientific Office,Solution for injection in Pre-filled Syringe,Aranesp 300 micrograms  solution for injection prefilled syringe 300mcg/0.6ml
Aranesp 40mcg solution for injection,40mcg/0.4ml,Amgen Scientific Office,Solution for injection in Pre-filled Syringe,Aranesp 40mcg solution for injection 40mcg/0.4ml
"Diphtheria , Tetanus,  Pertussis (Whole cell)  and Hepatitis B vaccine Adsorbed",0comb,International trading office ITO,Suspension for injection,"Diphtheria , Tetanus,  Pertussis (Whole cell)  and Hepatitis B vaccine Adsorbed 0comb"
"Uro-Vaxom , Capsules",6mg,Minapharm company for pharmaceuticals and chemical industries,Hard Gelatin Capsules,"Uro-Vaxom , Capsules 6mg"
Synflorix vaccine 0.5ml,0comb,GlaxoSmithKline,Suspension for injection,Synflorix vaccine 0.5ml 0comb
Survanta 8 ml,25mg,Abbvie scientific office,Intratracheal Vial,Survanta 8 ml 25mg
Humalog Mix50 100 U/ml suspension for injection,100u/ml,Akhnaton Trading and Distribution,Suspension for injection,Humalog Mix50 100 U/ml suspension for injection 100u/ml
Insulinagypt N 100 IU/ml vial (4ml),100I.U./ml,Medical Union Pharmaceuticals - MUP,Suspension for injection,Insulinagypt N 100 IU/ml vial (4ml) 100I.U./ml
Insulinagypt N 100 IU/ml Vial (10ml),100I.U./ml,Medical Union Pharmaceuticals - MUP,Suspension for injection,Insulinagypt N 100 IU/ml Vial (10ml) 100I.U./ml
Insulinagypt R 100 IU/ml Vial (10ML),100I.U./ml,Medical Union Pharmaceuticals - MUP,Solution for S.C injection,Insulinagypt R 100 IU/ml Vial (10ML) 100I.U./ml
Lucentis  10 mg/ml Solution for injection,10mg/ml,Novartis Pharma,Solution for injection,Lucentis  10 mg/ml Solution for injection 10mg/ml
"Neulastim , solution for injection in pre-filled syringes 6mg/ 0.6ml",6mg/0.6ml,Amgen Scientific Office,Solution for injection,"Neulastim , solution for injection in pre-filled syringes 6mg/ 0.6ml 6mg/0.6ml"
Beriglobin P,160mg/ml,2s Pharma Group,Solution for injection,Beriglobin P 160mg/ml
Rituxera 100mg,100mg/10ml,MEMPHIS for pharmaceuticals and chemical industries,Concentrate for solution for injection,Rituxera 100mg 100mg/10ml
Rituxera 500 mg,500mg/50ml,MEMPHIS for pharmaceuticals and chemical industries,Solution for injection,Rituxera 500 mg 500mg/50ml
Hyalase 1500 I.U.Powder for solution for injection/infusion,1500I.U.,STAR INTERNATIONAL CO,Powder for injection,Hyalase 1500 I.U.Powder for solution for injection/infusion 1500I.U.
Bravelle 75 I.U.,75I.U.,Multipharma for Pharmaceuticals and Chemicals Company,powder and solvent for injection,Bravelle 75 I.U. 75I.U.
Dried factor VIII Fraction Type 8 Y 500 IU,25I.U./ml,Biocare Pharma Group,Powder for injection,Dried factor VIII Fraction Type 8 Y 500 IU 25I.U./ml
Grafalon concentrate solution for injection-one vial,20mg,Egyptian Group for Import and Export,Vial,Grafalon concentrate solution for injection-one vial 20mg
Actemra 400mg/20ml,400mg/20ml,Hoffman La Roch,Concentrate For Solution For I.V Infusion,Actemra 400mg/20ml 400mg/20ml
Actrapid vial,100unit/ml,NOVO NORDISK SCIENTIFIC OFFICE,Solution for injection,Actrapid vial 100unit/ml
Actilyse 50mg (Treatment Set),50mg/vial,Boehringer Ingelheim,powder and solvent for injection,Actilyse 50mg (Treatment Set) 50mg/vial
ALBUMINAR 25,25%,Medmark Pharmaceutiacals LLC,Solution for Infusion,ALBUMINAR 25 25%
ALBURAAS  20%,20%,Vacsera EGY-Blood,Solution for injection,ALBURAAS  20% 20%
ALBUTEIN 20% vial,20%,Grifols Middle East and Africa,Solution for injection,ALBUTEIN 20% vial 20%
ALFARON 3M.I.U injection,3M.I.U./ml,EGYPTIAN PROMOTION CENTER Scientific Office,Prefilled Syringe,ALFARON 3M.I.U injection 3M.I.U./ml
ALFARON 5 M.I.U injection,5M.I.U./ml,Inco Pharma Egypt,Prefilled Syringe,ALFARON 5 M.I.U injection 5M.I.U./ml
ALPHACHYMOTRYPSIN,5mg,Amoun Pharmaceutical Company,powder and solvent for injection,ALPHACHYMOTRYPSIN 5mg
ANGIKINASE,100000I.U.,South Egypt Drug Industries Co (SEDICO),Solution for injection,ANGIKINASE 100000I.U.
ANGIKINASE,500000I.U.,South Egypt Drug Industries Co (SEDICO),Solution for injection,ANGIKINASE 500000I.U.
Aranesp 100 micrograms  solution for injection prefilled syringe,100mcg/0.5ml,Amgen Scientific Office,Solution for injection in Pre-filled Syringe,Aranesp 100 micrograms  solution for injection prefilled syringe 100mcg/0.5ml
ARANESP 20mcg/0.5ml pref.syringe.,20mcg/0.5ml,Amgen Scientific Office,Solution for injection,ARANESP 20mcg/0.5ml pref.syringe. 20mcg/0.5ml
Aranesp 20 micrograms  solution for injection,20mcg/0.5ml,Amgen Scientific Office,Solution for injection in Pre-filled Syringe,Aranesp 20 micrograms  solution for injection 20mcg/0.5ml
Aranesp 30 micrograms  solution for injection,30mcg/0.3ml,Amgen Scientific Office,Solution for injection in Pre-filled Syringe,Aranesp 30 micrograms  solution for injection 30mcg/0.3ml
Vectibix 100mg/5ml,100mg/5ml,Amgen Scientific Office,CONCENTRATE SOLUTION FOR INFUSION,Vectibix 100mg/5ml 100mg/5ml
Vectibix 400mg,400mg/20ml,Amgen Scientific Office,CONCENTRATE SOLUTION FOR INFUSION,Vectibix 400mg 400mg/20ml
Luveris 75IU,75I.U.,Merck Limited - Egypt,Powder for injection,Luveris 75IU 75I.U.
BCG 0.5mg intradermal amp.,0.5mg,"Ramco for Import, Export and Commercial Agencies",Powder for injection,BCG 0.5mg intradermal amp. 0.5mg
Aranesp 500 micrograms  solution for injection,500mcg/ml,Amgen Scientific Office,Solution for injection in Pre-filled Syringe,Aranesp 500 micrograms  solution for injection 500mcg/ml
BERININ P,300I.U.,M.M Pharma scientific office,Powder for injection,BERININ P 300I.U.
Aranesp 80 micrograms  solution for injection,80mcg/0.4ml,Multipharma for Pharmaceuticals and Chemicals Company,Solution for injection in Pre-filled Syringe,Aranesp 80 micrograms  solution for injection 80mcg/0.4ml
BRONCHO-VAXOM adults,40mg,MEMPHIS for pharmaceuticals and chemical industries,Hard Gelatin Capsules,BRONCHO-VAXOM adults 40mg
BRONCHO-VAXOM CHILDREN sachets,20mg,Minapharm company for pharmaceuticals and chemical industries,Sachet,BRONCHO-VAXOM CHILDREN sachets 20mg
Zofatrone 8mg,0mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,oral soluble film,Zofatrone 8mg 0mg
Zofatrone 4mg,0mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,oral soluble film,Zofatrone 4mg 0mg
Renoxacare,0comb,Multicare Egypt for Pharmaceutical Industries,Film Coated Tablets,Renoxacare 0comb
Glucose and Sodium Chloride-MUP,0comb,Medical Union Pharmaceuticals - MUP,Solution For I.V Infusion,Glucose and Sodium Chloride-MUP 0comb
Laxiprimo,7.5mg,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Oral Drops,Laxiprimo 7.5mg
Nashprep 5mg,5mg,Viomix for Pharmaceutical Industries,Film Coated Tablets,Nashprep 5mg 5mg
Azilarapex 20mg,20mg,Apex pharma,Tablets,Azilarapex 20mg 20mg
Silden,50mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Oro-dispersible tablet,Silden 50mg
Coldvaba,0comb,organo for pharmaceutical and chemical industries (organo pharma),Film Coated Tablets,Coldvaba 0comb
Dextrose –MUP 10%,10% W/V,Medical Union Pharmaceuticals - MUP,Solution For I.V Infusion,Dextrose –MUP 10% 10% W/V
paracetamol-Sano pharma,10mg/ml,Sano pharma,Solution For I.V Infusion,paracetamol-Sano pharma 10mg/ml
Fugiborg,1%,Borg Pharmaceutical Industries,Topical Solution,Fugiborg 1%
Amcocanamet  150/1000mg,0comb,Amcomed for Pharmaceutical  and Chemical Industries,Film Coated Tablets,Amcocanamet  150/1000mg 0comb
Amcocanamet  50/1000 mg,0comb,Amcomed for Pharmaceutical  and Chemical Industries,Film Coated Tablets,Amcocanamet  50/1000 mg 0comb
Purified water-Dawaks Pharma,100%,Dawaks Pharma,Solvent for Reconstitution of Oral Preparation,Purified water-Dawaks Pharma 100%
Neamacitol,10mg,October Pharma,Film Coated Tablets,Neamacitol 10mg
Acellbia 100 mg/10 ml,100mg/10ml,Anabion Pharmaceutical Egypt,CONCENTRATE SOLUTION FOR INFUSION,Acellbia 100 mg/10 ml 100mg/10ml
Acellbia 500 mg/50 ml,0UnDefined,Anabion Pharmaceutical Egypt,CONCENTRATE SOLUTION FOR INFUSION,Acellbia 500 mg/50 ml 0UnDefined
Cerebrolysin - Vetopharm Nerhado International for Pharmaceuticals & Chemicals,215.2mg/ml,vetopharm nerhado international for pharmaceuticals and chemicals,"Concentrate for Solution for Infusion, Solution For Injection",Cerebrolysin - Vetopharm Nerhado International for Pharmaceuticals & Chemicals 215.2mg/ml
Lostanza,2.5mg/5ml,Alexandria Co. For Pharmaceuticals and Chemical Industries,Oral Syrup,Lostanza 2.5mg/5ml
Nutrition for hair,0comb,International medical Guide,Tablets,Nutrition for hair 0comb
Giprokazide,50mg,GHP,Tablets,Giprokazide 50mg
Vental,100mg/20ml,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Respirator solution,Vental 100mg/20ml
Congesneez Cough and Cold,0comb,biocare,Oral Liquid,Congesneez Cough and Cold 0comb
Larosuzet 20/ 10 mg,0comb,AL ESRAA PHARMACEUTICAL OPTIMA-EGYPT,Film Coated Tablets,Larosuzet 20/ 10 mg 0comb
Larosuzet 10/ 10 mg,0comb,AL ESRAA PHARMACEUTICAL OPTIMA-EGYPT,Film Coated Tablets,Larosuzet 10/ 10 mg 0comb
Larosuzet 40/ 10 mg,0comb,AL ESRAA PHARMACEUTICAL OPTIMA-EGYPT,Film Coated Tablets,Larosuzet 40/ 10 mg 0comb
PIRAFENE,4mg,MEMPHIS for pharmaceuticals and chemical industries,Tablets,PIRAFENE 4mg
CYNCHOLINE,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Hard Gelatin Capsules,CYNCHOLINE 0comb
Broncho Syrup,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Oral Syrup,Broncho Syrup 0comb
MEPACO HERBS FOR HEADACHE,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Tea Bag,MEPACO HERBS FOR HEADACHE 0comb
LIPOSTABILE caps.,0comb,Sanofi Egypt,Capsule,LIPOSTABILE caps. 0comb
MIGRANIL supp.(CANCELLED),0comb,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Rectal Suppositories,MIGRANIL supp.(CANCELLED) 0comb
AMPICILLIN,1gm/vial,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Powder for solution for I.M or I.V Injection,AMPICILLIN 1gm/vial
VASOXUPRINE 20mg tab.(CANCELLED),20mg,Amriya for Pharmaceutical Industries,Tablets,VASOXUPRINE 20mg tab.(CANCELLED) 20mg
IOPAMIRO 200  mg Amp.(CANCELLED),200mg,Obelisk pharm Co,Lyophilized Powder,IOPAMIRO 200  mg Amp.(CANCELLED) 200mg
PRIMPEROXANE,0comb,MEMPHIS for pharmaceuticals and chemical industries,Chewable Tablets,PRIMPEROXANE 0comb
FELDORAL,20mg,South Egypt Drug Industries Co (SEDICO),Hard Gelatin Capsules,FELDORAL 20mg
ANAPLATE,75mg,South Egypt Drug Industries Co (SEDICO),Sugar Coated Tablets,ANAPLATE 75mg
VASCULAR 20 mg,20mg,South Egypt Drug Industries Co (SEDICO),Tablets,VASCULAR 20 mg 20mg
GLIFEN 1gm supp.(CANCELLED),1gm,South Egypt Drug Industries Co (SEDICO),Rectal Suppositories,GLIFEN 1gm supp.(CANCELLED) 1gm
METRONAL  500mg vaginal tab.(CANCELLED),500mg,South Egypt Drug Industries Co (SEDICO),Vaginal Ovules,METRONAL  500mg vaginal tab.(CANCELLED) 500mg
METRONAL 250mg tab.,250mg,South Egypt Drug Industries Co (SEDICO),Tablets,METRONAL 250mg tab. 250mg
ANA-PLATE 25mg tab(Cancelled),25mg,South Egypt Drug Industries Co (SEDICO),Tablets,ANA-PLATE 25mg tab(Cancelled) 25mg
FURAMEBE,500mg,South Egypt Drug Industries Co (SEDICO),Tablets,FURAMEBE 500mg
Aironyl,1.5mg/5ml,South Egypt Drug Industries Co (SEDICO),Oral Syrup,Aironyl 1.5mg/5ml
HI-SEPT,0comb,South Egypt Drug Industries Co (SEDICO),Disinfectant Solution,HI-SEPT 0comb
SEDOPHENE 50mg tab(Cancelled),50mg,South Egypt Drug Industries Co (SEDICO),Tablets,SEDOPHENE 50mg tab(Cancelled) 50mg
SEDOMID 2mg caps(CANCELLED),2mg,South Egypt Drug Industries Co (SEDICO),Capsule,SEDOMID 2mg caps(CANCELLED) 2mg
CALBROM 1gm/5ml syrup(CANCELLED),1gm/5ml,South Egypt Drug Industries Co (SEDICO),Oral Syrup,CALBROM 1gm/5ml syrup(CANCELLED) 1gm/5ml
SEDALAC,3.35gm/5ml,South Egypt Drug Industries Co (SEDICO),Oral Syrup,SEDALAC 3.35gm/5ml
TRICOF vaginal supp.(CANCELLED),0comb,South Egypt Drug Industries Co (SEDICO),Vaginal Ovules,TRICOF vaginal supp.(CANCELLED) 0comb
GLIFEN 500mg supp.(CANCELLED),500mg,South Egypt Drug Industries Co (SEDICO),Rectal Suppositories,GLIFEN 500mg supp.(CANCELLED) 500mg
POTASSIUM  syrup(CANCELLED),3.3gm/100ml,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Oral Syrup,POTASSIUM  syrup(CANCELLED) 3.3gm/100ml
Hemoclar,5mg/gm,Sanofi Egypt,Topical Cream,Hemoclar 5mg/gm
HEXABRIX(Cancelled),320mg/ml,Amoun Pharmaceutical Company,Solution for injection,HEXABRIX(Cancelled) 320mg/ml
OXYBRAL SR,30mg,Glaxo smithkline,Capsule,OXYBRAL SR 30mg
VOLTAREN,25mg,Novartis Pharma,Enteric Coated Tablet,VOLTAREN 25mg
RIMANAL gel(Cancelled),0comb,NOVARTIS CONSUMER HEALTH-EGYPT,Topical Gel,RIMANAL gel(Cancelled) 0comb
METHERGIN,0.125mg,Novartis Pharma,Sugar Coated Tablets,METHERGIN 0.125mg
ASCO  tab.cancelled,0comb,Chemical Industries Development (CID),Tablets,ASCO  tab.cancelled 0comb
ASACOL TAB. 400 MG,400mg,Medical Union Pharmaceuticals - MUP,Tablets,ASACOL TAB. 400 MG 400mg
TAMOFEN 10mg tablet(Cancelled),10mg,Medical Union Pharmaceuticals - MUP,Tablets,TAMOFEN 10mg tablet(Cancelled) 10mg
LOPODIUM 1mg/5m syrup(CANCELLED),1mg/5ml,MEMPHIS for pharmaceuticals and chemical industries,Oral Syrup,LOPODIUM 1mg/5m syrup(CANCELLED) 1mg/5ml
SPASMOCIN,15mg,MEMPHIS for pharmaceuticals and chemical industries,Rectal Suppositories,SPASMOCIN 15mg
METROZOL VAGINAL PESSARIES(CANCELLED),500mg,MEMPHIS for pharmaceuticals and chemical industries,Vaginal Ovules,METROZOL VAGINAL PESSARIES(CANCELLED) 500mg
Amrizole,1gm,Amriya for Pharmaceutical Industries,Rectal Suppositories,Amrizole 1gm
Daktarin,2%,Minapharm company for pharmaceuticals and chemical industries,Topical Cream,Daktarin 2%
REVERIN 150mg I.M. inj.,150mg,SANOFI  scientific office,Lyophilized Powder,REVERIN 150mg I.M. inj. 150mg
VIODERM,3gm/100g,kahira pharmaceuticals and chemical industries,Topical Cream,VIODERM 3gm/100g
Codaphen -N,0comb,Alexandria Co. For Pharmaceuticals and Chemical Industries,Oral Syrup,Codaphen -N 0comb
APO-RANITIDINE 150mg tab.(Cancelled),150mg,Egyptian Pharmaceutical Trading,Tablets,APO-RANITIDINE 150mg tab.(Cancelled) 150mg
APO-RANITIDINE 300mg tab.(Cancelled),300mg,Egyptian Pharmaceutical Trading,Tablets,APO-RANITIDINE 300mg tab.(Cancelled) 300mg
SOLOMOL AEROSOL INHALER,100mcg,universal pharmaceutical industries (unipharma),Inhaler,SOLOMOL AEROSOL INHALER 100mcg
THEOPHYL,200mg,MEMPHIS for pharmaceuticals and chemical industries,SUSTAINED RELEASE TABLET,THEOPHYL 200mg
LOPERASIN syrup(CANCELLED),1mg/5ml,Alexandria Co. For Pharmaceuticals and Chemical Industries,Oral Syrup,LOPERASIN syrup(CANCELLED) 1mg/5ml
FLUORO-URACIL 250mg/5ml amp.(Cancelled),250mg/5ml,Egyptian Pharmaceutical Trading,Lyophilized Powder,FLUORO-URACIL 250mg/5ml amp.(Cancelled) 250mg/5ml
Vapozol,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Inhalation Solution,Vapozol 0comb
DORMIVAL,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Hard Gelatin Capsules,DORMIVAL 0comb
MEPACO SEDATIVE HERB,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Tea Bag,MEPACO SEDATIVE HERB 0comb
Kellagon Capsules,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Hard Gelatin Capsules,Kellagon Capsules 0comb
NAPROSYN GRANULES 500 mg(CANCELLED),500mg,Misr company for Pharmaceuticals,Oral Granules,NAPROSYN GRANULES 500 mg(CANCELLED) 500mg
Gyno-Daktarin®,2%,Minapharm company for pharmaceuticals and chemical industries,Vaginal Cream,Gyno-Daktarin® 2%
ABILAXINE Infantile,5mg,Glaxo smithkline,Rectal Suppositories,ABILAXINE Infantile 5mg
ABILAXINE Adult,10mg,Glaxo smithkline,Rectal Suppositories,ABILAXINE Adult 10mg
IMODIUM 1mg/5ml syrup,1mg/5ml,Minapharm company for pharmaceuticals and chemical industries,Oral Syrup,IMODIUM 1mg/5ml syrup 1mg/5ml
GLIFEN,200mg,South Egypt Drug Industries Co (SEDICO),Tablets,GLIFEN 200mg
BIOMOX 250 mg/ 5 ml,250mg/5ml,South Egypt Drug Industries Co (SEDICO),Powder for Oral Suspension,BIOMOX 250 mg/ 5 ml 250mg/5ml
BIOMOX 125 mg / 5 ml,125mg/5ml,South Egypt Drug Industries Co (SEDICO),Powder for Oral Suspension,BIOMOX 125 mg / 5 ml 125mg/5ml
HISTAC 50mg/2ml,50mg/2ml,Sun pharma Egypt limited,Ampoule,HISTAC 50mg/2ml 50mg/2ml
EPI-WET soln.(Cancelled),0UnDefined,Egyptian International Pharmaceutical Industries Company (EIPICO),C.Lens.Solution,EPI-WET soln.(Cancelled) 0UnDefined
FENISTIL,1mg,Glaxo smithkline,Film Coated Tablets,FENISTIL 1mg
MEPACO HERBS FOR KIDNEY,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Tea Bag,MEPACO HERBS FOR KIDNEY 0comb
CLOVACAINE,0comb,Arab Company for Pharmaceuticals and Medicinal Plants _ Mepaco- Medi Food,Topical Solution,CLOVACAINE 0comb
IKARAN DROPS,2mg/2ml,Medical Union Pharmaceuticals - MUP,Oral Drops,IKARAN DROPS 2mg/2ml
POVIDENT 10% mouth wash & gargle(CANCELLED),10%,Misr company for Pharmaceuticals,Mouth Wash,POVIDENT 10% mouth wash & gargle(CANCELLED) 10%
MALARQUINE,250mg,El-Nasr for Pharmaceutical Chemicals,Tablets,MALARQUINE 250mg
Bilichol,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Enteric Coated Soft Gelatin Capsule,Bilichol 0comb
URINEX,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Enteric Coated Soft Gelatin Capsule,URINEX 0comb
OTOCALM,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Ear Drops,OTOCALM 0comb
Tussilar-M,10mg/ml,kahira pharmaceuticals and chemical industries,Oral Drops,Tussilar-M 10mg/ml
DALACIN-C phosphate 600mg/4ml amp.,600mg/4ml,MEMPHIS for pharmaceuticals and chemical industries,Lyophilized Powder,DALACIN-C phosphate 600mg/4ml amp. 600mg/4ml
ANDROCUR,50mg,Bayer AG,Tablets,ANDROCUR 50mg
OXYSEPT 2(CANCELLED),0UnDefined,Soficopharm Pharmaceuticals,C.Lens.Solution,OXYSEPT 2(CANCELLED) 0UnDefined
A-Viton,50000I.U.,kahira pharmaceuticals and chemical industries,Soft Gelatin Capsule,A-Viton 50000I.U.
